50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure
,,,,,,,,,,,,2.28,,,,,,,,,,,,,,,6b6d6816-0efd-4a9d-8360-00f8880e578f,1332,,"[53.0, 79.0]",7532,36,,-0.44237423,,,Right Foot,,,,"[91.0, 61.0]",,Ground Pass,42.047592,,Pass Offside,Nicolai Jørgensen,,,,1,Regular Play,Henrik Dalsgaard,4763.0,Right Back,70,Denmark,776,['5f2e99ea-1a46-4732-8ada-359d333bd90d'],33,,,,,,,,,,,,,,,Denmark,00:36:33.373,Pass,
,,,,,,,,,,,,1.133,,,,,,,,,,,,,,,0852113b-4dab-4260-805a-f6e0a51937c7,1335,,"[39.0, 10.0]",7532,37,,-0.5880026,,,Left Foot,,,,"[51.0, 2.0]",,Ground Pass,14.422205,,,Miguel Ángel Trauco Saavedra,,,,1,Regular Play,Víctor Yoshimar Yotún Flores,5529.0,Left Center Midfield,71,Peru,784,['1f2fbe67-8a27-468c-b374-1b3c98259ffa'],2,,,,,,,,,,,,,,,Peru,00:37:02.360,Pass,
,,,,,,,,,,,,0.933,,,,,,,,,,,,,,,12d8e114-48bd-4553-99a7-aec4df78fb88,1339,,"[58.0, 2.0]",7532,37,,0.0,,,Left Foot,,,,"[75.0, 2.0]",,Ground Pass,17.0,,,Édison Michael Flores Peralta,,,,1,Regular Play,Miguel Ángel Trauco Saavedra,5518.0,Left Back,71,Peru,784,['7dc66106-acd1-449a-859f-68fe91207b70'],5,,,,,,,,,,,,,,,Peru,00:37:05.080,Pass,
,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,42311c0f-816e-4ab1-9562-d2be32e9f022,1343,,"[66.0, 2.0]",7532,37,,3.1415927,,,Left Foot,,,,"[50.0, 2.0]",,Ground Pass,16.0,,,Víctor Yoshimar Yotún Flores,,,,1,Regular Play,Édison Michael Flores Peralta,5525.0,Left Wing,71,Peru,784,['ed0e9ff1-a6ad-4862-8717-0d032636ba38'],8,,,,,,,,,,,,,,,Peru,00:37:08.360,Pass,
,,,,,,,,,,,,1.053,,,,,,,,,,,,,,,b511008e-ede9-4150-9e42-264e32e2acb9,1346,,"[52.0, 1.0]",7532,37,,0.16514868,,,Left Foot,,,,"[58.0, 2.0]",,Ground Pass,6.0827627,,,Édison Michael Flores Peralta,,,,1,Regular Play,Víctor Yoshimar Yotún Flores,5529.0,Left Center Midfield,71,Peru,784,"['29812baa-c0b4-44cf-80ea-86a29db435b1', 'cbfdc497-b024-4bbc-8025-141e3fa3d186']",10,,,,,,,,,,,,,,,Peru,00:37:10.760,Pass,True
,,,,,,,,,,,,1.053,,,,,,,,,,,,,,,3030659c-fa8f-463d-bdea-d369d242af88,1354,,"[80.0, 77.0]",7532,37,,-1.2036225,,,Right Foot,,,,"[85.0, 64.0]",,Ground Pass,13.928389,,,Pione Sisto Ifolo Emirmija,,,,1,From Counter,Christian Dannemann Eriksen,3043.0,Center Attacking Midfield,72,Denmark,776,['5a07295f-c8f3-4553-ab7c-2d36c3517e3b'],14,,,,,,,,,,,,,,,Denmark,00:37:14.680,Pass,
,,,,,,,,,,,,3.36,,,,,,,,,,,,,,,b829ea55-c8f8-4d2d-973a-39ac3417bcad,1369,,"[33.0, 65.0]",7532,39,,-2.1375256,,,Head,,,,"[19.0, 43.0]",,High Pass,26.076809,,Unknown,Andreas Christensen,,,,1,Regular Play,Henrik Dalsgaard,4763.0,Right Back,74,Denmark,776,['e16f537f-e3bb-4b35-824e-f37f41c492a4'],13,,,,,,,,,,,,,,,Denmark,00:39:13.293,Pass,
,,,,,,,,,,,,2.827,,,,,,,,,,,,,,,331b55a3-99e5-481a-9da0-d6d74423bd87,1374,,"[19.0, 42.0]",7532,39,,0.6007138,,,Right Foot,,,,"[73.0, 79.0]",,High Pass,65.459915,,Incomplete,Henrik Dalsgaard,,,Free Kick,1,From Free Kick,Kasper Schmeichel,3815.0,Goalkeeper,75,Denmark,776,"['1be0e910-b5fb-43a7-bdd9-d8ae136e4d4d', '7c7f6ca6-564b-425c-8b1d-f1c9339b74d6']",40,,,,,,,,,,,,,,,Denmark,00:39:40.253,Pass,
,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,1be0e910-b5fb-43a7-bdd9-d8ae136e4d4d,1377,,"[48.0, 2.0]",7532,39,True,-2.3561945,,,,,,,"[47.0, 1.0]",,High Pass,1.4142135,,Out,,,,Recovery,1,From Free Kick,Édison Michael Flores Peralta,5525.0,Left Wing,75,Denmark,776,"['331b55a3-99e5-481a-9da0-d6d74423bd87', 'a0ccb9d6-e6fc-4fe0-9f58-4df7ab53c8f5']",43,,,,,,,,,,,,,,,Peru,00:39:43.080,Pass,True
,,,,,,,,,,,,1.467,,,,,,,,,,,,,,,f186ae47-4ff0-4929-8d17-ab16f884dc32,1378,,"[79.0, 80.0]",7532,39,,-0.75976276,,,,,,,"[99.0, 61.0]",,Low Pass,27.58623,,Incomplete,Nicolai Jørgensen,,,Throw-in,1,From Throw In,Henrik Dalsgaard,4763.0,Right Back,76,Denmark,776,"['30ce29b6-8f8e-44f7-97a1-411f876c7837', '708b633d-782f-40e4-9d48-ccbe450226b2']",51,,,,,,,,,,,,,,,Denmark,00:39:51.813,Pass,
,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,9fe913ec-c2df-44b0-9967-5ea94ec0fae6,1381,,"[87.0, 65.0]",7532,39,True,-0.98279375,,,,,,,"[89.0, 62.0]",,High Pass,3.6055512,,Incomplete,Nicolai Jørgensen,,,Recovery,1,From Throw In,Lasse Schöne,5520.0,Right Center Midfield,76,Denmark,776,"['1114df8f-9286-4d3b-ba36-665c077187d7', '56e43368-be0b-41d3-9bdf-7dcb0512dc55', '5f80a17b-1cc2-4f21-b42f-2d42a8d7a664']",55,,,,,,,,,,,,,,,Denmark,00:39:55.320,Pass,True
